2020-11-13 12:45:24,555 [main] INFO  org.apache.iotdb.db.conf.IoTDBDescriptor:148 - Start to read config file file:sbin/../conf/iotdb-engine.properties 
2020-11-13 12:45:24,560 [main] INFO  org.apache.iotdb.db.conf.IoTDBDescriptor:167 - The stat_monitor_detect_freq_sec value is smaller than default, use default value 
2020-11-13 12:45:24,560 [main] INFO  org.apache.iotdb.db.conf.IoTDBDescriptor:174 - The stat_monitor_retain_interval_sec value is smaller than default, use default value 
2020-11-13 12:45:24,561 [main] INFO  org.apache.iotdb.db.conf.IoTDBDescriptor:796 - allocateMemoryForRead = 104958315724 
2020-11-13 12:45:24,562 [main] INFO  org.apache.iotdb.db.conf.IoTDBDescriptor:797 - allocateMemoryForWrite = 139944420966 
2020-11-13 12:45:24,562 [main] INFO  org.apache.iotdb.db.conf.IoTDBDescriptor:798 - allocateMemoryForSchema = 34986105241 
2020-11-13 12:45:24,562 [main] INFO  org.apache.iotdb.db.conf.IoTDBDescriptor:266 - IoTDB enable memory control: false 
2020-11-13 12:45:24,565 [main] INFO  org.apache.iotdb.tsfile.common.conf.TSFileDescriptor:108 - Start to read config file sbin/../conf/iotdb-engine.properties 
2020-11-13 12:45:24,567 [main] INFO  org.apache.iotdb.db.metadata.MManager:164 - create system folder /home/ubuntu/iotdb-server-0.11.0-SNAPSHOT/sbin/../data/system/schema 
2020-11-13 12:45:24,568 [main] INFO  org.apache.iotdb.db.conf.IoTDBConfigCheck:95 - Starting IoTDB 0.11.0-SNAPSHOT 
2020-11-13 12:45:24,569 [main] INFO  org.apache.iotdb.db.conf.IoTDBConfigCheck:156 -  /home/ubuntu/iotdb-server-0.11.0-SNAPSHOT/sbin/../data/system/schema/system.properties has been created. 
2020-11-13 12:45:24,606 [main] WARN  org.apache.iotdb.db.service.StartupChecks:36 - iotdb.jmx.port missing from iotdb-env.sh(Unix or OS X, if you use Windows, check conf/iotdb-env.bat) 
2020-11-13 12:45:24,607 [main] INFO  org.apache.iotdb.db.service.StartupChecks:52 - JDK veriosn is 8. 
2020-11-13 12:45:24,607 [main] INFO  org.apache.iotdb.db.service.IoTDB:95 - Setting up IoTDB... 
2020-11-13 12:45:24,607 [main] INFO  org.apache.iotdb.db.service.IoTDB:99 - recover the schema... 
2020-11-13 12:45:24,635 [main] INFO  org.apache.iotdb.db.service.IoTDB:158 - spend 27ms to recover schema. 
2020-11-13 12:45:24,635 [main] INFO  org.apache.iotdb.db.service.IoTDB:159 - After initializing, tsFile threshold is 0, memtableSize is 3737418240 
2020-11-13 12:45:24,638 [main] INFO  org.apache.iotdb.db.concurrent.IoTDBThreadPoolFactory:46 - new fixed thread pool: Flush-ServerServiceImpl, thread number: 48 
2020-11-13 12:45:24,639 [main] INFO  org.apache.iotdb.db.concurrent.IoTDBThreadPoolFactory:80 - new cached thread pool: Flush-SubTask-ServerServiceImpl 
2020-11-13 12:45:24,639 [main] INFO  org.apache.iotdb.db.engine.flush.pool.FlushSubTaskPoolManager:57 - Flush sub task manager started. 
2020-11-13 12:45:24,640 [main] INFO  org.apache.iotdb.db.engine.flush.pool.FlushTaskPoolManager:58 - Flush task manager started. 
2020-11-13 12:45:24,644 [main] INFO  org.apache.iotdb.db.cost.statistic.Measurement:142 - start measurement stats module... 
2020-11-13 12:45:24,645 [main] INFO  org.apache.iotdb.db.cost.statistic.Measurement:250 - start the consuming task in the measurement stats module... 
2020-11-13 12:45:24,650 [main] INFO  org.apache.iotdb.db.concurrent.IoTDBThreadPoolFactory:46 - new fixed thread pool: Recovery-Thread-Pool, thread number: 48 
2020-11-13 12:45:24,656 [main] INFO  org.apache.iotdb.db.concurrent.IoTDBThreadPoolFactory:63 - new single thread pool: Begin-Recovery-Pool 
2020-11-13 12:45:24,659 [main] INFO  org.apache.iotdb.db.service.thrift.ThriftService:99 - IoTDB: start RPC ServerService... 
2020-11-13 12:45:24,676 [main] INFO  org.apache.iotdb.db.auth.authorizer.BasicAuthorizer$InstanceHolder:87 - Authorizer provider class: org.apache.iotdb.db.auth.authorizer.LocalFileAuthorizer 
2020-11-13 12:45:24,678 [main] INFO  org.apache.iotdb.db.auth.user.LocalFileUserAccessor:228 - user info dir sbin/../data/system/users is created 
2020-11-13 12:45:24,685 [main] INFO  org.apache.iotdb.db.auth.user.BasicUserManager:79 - Admin initialized 
2020-11-13 12:45:24,687 [main] INFO  org.apache.iotdb.db.auth.user.BasicUserManager:79 - Admin initialized 
2020-11-13 12:45:24,687 [main] INFO  org.apache.iotdb.db.auth.role.LocalFileRoleAccessor:172 - role info dir sbin/../data/system/roles is created 
2020-11-13 12:45:24,687 [main] INFO  org.apache.iotdb.db.auth.authorizer.BasicAuthorizer:67 - Initialization of Authorizer completes 
